32	44	38	
31	43	37	
30	42	36	
32	41	38	
31	40	37	
29	38	35	
29	38	35	
30	37	34	
29	36	33	
29	35	34	
30	36	35	
30	38	37	
31	39	38	
31	39	38	
31	39	38	
33	38	39	
34	39	40	
36	41	44	
37	42	45	
39	43	48	
40	44	49	
42	45	53	
43	46	54	
45	47	57	
47	49	59	
48	53	62	
50	55	64	
52	57	66	
53	58	67	
54	58	69	
55	59	70	
53	59	70	
54	60	71	
53	61	74	
54	62	75	
54	61	76	
54	62	79	
55	62	81	
54	64	82	
54	64	82	
53	63	81	
52	61	81	
50	61	81	
52	61	81	
50	61	81	
52	61	81	
52	61	81	
52	61	81	
53	63	81	
53	63	81	
54	64	82	
55	63	80	
55	63	80	
55	63	80	
56	64	81	
57	65	82	
58	66	83	
60	67	82	
59	68	82	
59	66	85	
59	66	85	
59	66	86	
60	67	87	
61	68	88	
62	69	89	
63	69	92	
64	70	93	
63	69	92	
62	68	91	
61	67	90	
58	66	89	
60	67	87	
57	66	86	
58	65	85	
55	64	84	
58	65	85	
56	65	85	
58	64	87	
56	63	83	
55	62	82	
54	61	80	
55	62	82	
57	63	82	
59	65	84	
57	63	82	
56	62	81	
56	63	80	
58	64	83	
60	67	84	
63	67	86	
63	67	85	
64	68	87	
66	68	86	
66	68	86	
67	70	85	
70	70	86	
70	71	85	
71	71	85	
70	70	82	
73	71	83	
72	70	82	
71	69	81	
70	68	80	
70	68	80	
70	68	80	
68	68	80	
67	67	79	
68	66	78	
67	65	77	
66	64	76	
65	64	74	
64	63	73	
62	61	71	
60	59	68	
58	57	66	
57	56	65	
57	57	63	
56	56	62	
55	55	61	
53	54	58	
50	51	55	
49	50	54	
48	50	51	
43	47	48	
42	47	46	
40	45	44	
38	43	42	
38	43	41	
37	42	40	
36	41	39	
35	40	38	
33	40	35	
34	41	36	
34	44	38	
34	44	38	
31	44	36	
30	43	35	
31	44	36	
32	45	37	
31	46	38	
34	49	41	
36	53	44	
42	59	50	
47	66	57	
48	67	58	
46	65	56	
48	67	58	
49	68	59	
48	67	58	
49	68	59	
50	69	60	
52	69	60	
51	68	59	
50	67	58	
49	69	57	
47	70	56	
45	70	56	
43	69	55	
42	68	54	
42	69	53	
41	68	52	
39	69	50	
39	69	50	
40	70	51	
32	44	38	
31	43	37	
30	42	36	
32	41	38	
30	39	36	
29	38	35	
29	38	35	
30	37	34	
29	36	33	
29	35	34	
30	36	35	
30	38	37	
31	39	38	
31	39	38	
31	39	38	
33	38	39	
34	39	40	
35	40	43	
37	42	45	
38	42	47	
40	44	49	
43	46	54	
45	48	56	
47	49	59	
49	51	61	
49	54	63	
51	56	65	
51	56	65	
52	57	66	
53	57	68	
54	58	69	
53	59	70	
54	60	71	
53	61	74	
54	61	76	
53	61	78	
54	62	79	
53	63	81	
53	63	81	
52	62	80	
52	62	80	
50	61	81	
50	61	81	
50	61	81	
50	61	81	
50	61	81	
50	61	81	
52	61	81	
53	62	82	
54	64	82	
54	64	82	
53	63	81	
53	63	80	
56	64	81	
58	66	83	
59	67	84	
61	69	86	
61	70	84	
60	68	85	
61	68	87	
61	68	87	
62	69	89	
63	70	90	
65	72	92	
65	72	92	
65	71	94	
65	71	94	
65	71	94	
64	70	93	
61	69	92	
60	68	91	
61	70	90	
60	69	89	
59	68	88	
57	66	86	
59	67	90	
59	67	90	
59	67	90	
58	66	89	
59	65	88	
59	66	86	
59	66	86	
59	66	86	
61	66	87	
61	66	87	
60	65	86	
61	67	86	
62	68	87	
63	69	88	
64	70	89	
64	70	89	
66	70	89	
66	70	89	
68	69	89	
69	71	89	
72	72	90	
72	72	88	
73	72	88	
73	73	87	
74	71	86	
73	71	83	
73	71	83	
73	71	83	
74	72	84	
73	71	83	
70	70	82	
69	69	81	
71	69	81	
69	67	79	
68	66	78	
66	64	76	
65	64	74	
62	61	71	
59	58	68	
57	56	65	
57	56	65	
55	54	63	
54	54	60	
53	53	59	
51	52	56	
49	50	54	
48	49	53	
45	49	50	
44	48	49	
42	47	46	
40	45	44	
39	44	43	
38	43	41	
37	42	40	
36	41	39	
35	40	38	
32	39	34	
34	41	36	
34	44	38	
34	44	38	
31	44	36	
30	43	35	
31	44	36	
32	45	37	
31	46	38	
35	50	42	
36	53	44	
41	58	49	
46	65	56	
47	66	57	
46	65	56	
49	68	59	
48	67	58	
48	67	58	
48	67	58	
50	69	60	
51	68	59	
49	66	57	
48	65	56	
46	66	54	
44	66	54	
42	67	53	
40	66	52	
40	66	52	
40	67	51	
40	67	51	
39	69	50	
39	69	50	
40	70	51	
32	44	38	
33	43	37	
32	42	36	
31	40	37	
30	39	36	
28	37	34	
28	37	34	
30	36	35	
29	35	34	
29	35	34	
30	36	35	
29	37	36	
30	38	37	
31	39	38	
31	39	38	
33	38	39	
34	39	40	
36	41	44	
38	43	46	
39	43	48	
41	45	50	
43	46	54	
45	48	56	
45	50	59	
47	52	61	
49	53	64	
51	55	66	
50	55	64	
51	56	65	
50	56	67	
52	58	69	
53	59	70	
54	60	71	
53	61	74	
54	61	76	
52	60	77	
53	61	78	
52	62	80	
51	61	79	
48	59	79	
48	59	79	
49	60	80	
50	61	81	
48	61	83	
48	61	83	
48	61	83	
48	61	83	
50	61	81	
51	62	82	
51	62	82	
52	64	82	
50	62	80	
50	62	80	
